1443988890440,2022.6252,1471.0,47.0,580.0
1443989190447,2145.2085,1471.0,47.0,580.0
1443989490442,2267.7917,1471.0,47.0,580.0
1443989790446,2390.375,1471.0,47.0,580.0
1443990090411,2512.9583,1471.0,47.0,580.0
1443990390407,2635.5415,1471.0,47.0,580.0
1443990690406,2758.1248,1471.0,47.0,580.0
1443990990396,2880.708,1471.0,47.0,580.0
1443991290409,3003.2913,1471.0,47.0,580.0
1443991590440,3125.8745,1471.0,47.0,580.0
1443991890440,3248.4578,1471.0,47.0,580.0
1443992190444,3371.041,1471.0,47.0,580.0
